Program, File, Original Size, Compressed Size, Compression Ratio, Time, Nerdy Time
PackBits,alice29.txt,148.5 KB,150.6 KB,0.9859391409197578,200 ms,200
PackBits,asyoulik.txt,126.3 KB,128.6 KB,0.9817918131496822,317 ms,317
PackBits,bib.dat,114.8 KB,116.6 KB,0.9847259809137601,176 ms,176
PackBits,book1.dat,750.8 KB,767.4 KB,0.9782481723960222,154 ms,154
PackBits,book2.dat,611.8 KB,624.3 KB,0.9799823866276023,279 ms,279
PackBits,cp.html,24.7 KB,25.5 KB,0.9672080907140668,131 ms,131
PackBits,dickens.dat,9.7 MB,9.9 MB,0.9779408759287969,1.125 s,1125
PackBits,fields.c,11.3 KB,11.4 KB,0.9939919320230023,223 ms,223
PackBits,geo.dat,100.0 KB,99.8 KB,1.0024768226183833,335 ms,335
PackBits,grammar.lsp,3.7 KB,3.7 KB,0.9942663539223352,203 ms,203
PackBits,kennedy.xls,1005.6 KB,1.1 MB,0.9306401323102784,634 ms,634
PackBits,lcet10.txt,416.8 KB,412.5 KB,1.0103484278486587,247 ms,247
PackBits,mr.dat,9.5 MB,7.0 MB,1.3650335427407254,443 ms,443
PackBits,news.dat,378.1 KB,376.3 KB,1.0047282182765618,236 ms,236
PackBits,obj1.dat,21.0 KB,18.9 KB,1.109196884510239,226 ms,226
PackBits,obj2.dat,241.0 KB,242.5 KB,0.993795172233295,158 ms,158
PackBits,ooffice.dat,5.9 MB,5.8 MB,1.0152197349124854,1.178 s,1178
PackBits,osdb.dat,9.6 MB,9.9 MB,0.9757887292193349,772 ms,772
PackBits,paper1.dat,53.1 KB,54.0 KB,0.9841910102197703,397 ms,397
PackBits,paper2.dat,82.0 KB,83.6 KB,0.9809490416082282,320 ms,320
PackBits,pic.dat,501.2 KB,107.0 KB,4.68433734939759,336 ms,336
PackBits,plrabn12.txt,470.6 KB,479.3 KB,0.9817208704386217,152 ms,152
PackBits,progc.dat,40.1 KB,40.4 KB,0.9927772543904148,158 ms,158
PackBits,progl.dat,72.2 KB,69.2 KB,1.0431873049935763,381 ms,381
PackBits,progp.dat,50.1 KB,46.8 KB,1.0705796497080902,322 ms,322
PackBits,ptt5,501.2 KB,107.0 KB,4.68433734939759,159 ms,159
PackBits,reymont.dat,6.3 MB,6.4 MB,0.9846461102241097,513 ms,513
PackBits,samba.dat,20.6 MB,19.2 MB,1.0729429272565016,1.375 s,1375
PackBits,sao.dat,6.9 MB,7.0 MB,0.9890521501276013,785 ms,785
PackBits,sum,37.3 KB,34.9 KB,1.0702191374436762,257 ms,257
PackBits,trans.dat,91.5 KB,90.3 KB,1.0133023306115827,668 ms,668
PackBits,x-ray.dat,8.1 MB,8.1 MB,0.9920063456640342,335 ms,335
PackBits,xargs.1,4.2 KB,4.3 KB,0.9801219787666592,258 ms,258
PackBits,xml.dat,5.1 MB,5.2 MB,0.9871859084885045,2.424 s,2424
PackBits,Average, , ,1.22831997441181,466 ms,466.97058823529414
NOPless PackBits,alice29.txt,148.5 KB,150.6 KB,0.9859391409197578,156 ms,156
NOPless PackBits,asyoulik.txt,126.3 KB,128.6 KB,0.9817918131496822,142 ms,142
NOPless PackBits,bib.dat,114.8 KB,116.6 KB,0.9847259809137601,151 ms,151
NOPless PackBits,book1.dat,750.8 KB,767.4 KB,0.9782481723960222,453 ms,453
NOPless PackBits,book2.dat,611.8 KB,624.3 KB,0.9799823866276023,661 ms,661
NOPless PackBits,cp.html,24.7 KB,25.5 KB,0.9672080907140668,146 ms,146
NOPless PackBits,dickens.dat,9.7 MB,9.9 MB,0.9779408759287969,413 ms,413
NOPless PackBits,fields.c,11.3 KB,11.4 KB,0.9939919320230023,123 ms,123
NOPless PackBits,geo.dat,100.0 KB,99.8 KB,1.0024768226183833,186 ms,186
NOPless PackBits,grammar.lsp,3.7 KB,3.7 KB,0.9942663539223352,121 ms,121
NOPless PackBits,kennedy.xls,1005.6 KB,1.1 MB,0.9306401323102784,187 ms,187
NOPless PackBits,lcet10.txt,416.8 KB,412.5 KB,1.0103484278486587,151 ms,151
NOPless PackBits,mr.dat,9.5 MB,7.0 MB,1.3650335427407254,410 ms,410
NOPless PackBits,news.dat,378.1 KB,376.3 KB,1.0047282182765618,437 ms,437
NOPless PackBits,obj1.dat,21.0 KB,18.9 KB,1.109196884510239,202 ms,202
NOPless PackBits,obj2.dat,241.0 KB,242.5 KB,0.993795172233295,200 ms,200
NOPless PackBits,ooffice.dat,5.9 MB,5.8 MB,1.0152197349124854,492 ms,492
NOPless PackBits,osdb.dat,9.6 MB,9.9 MB,0.9757887292193349,340 ms,340
NOPless PackBits,paper1.dat,53.1 KB,54.0 KB,0.9841910102197703,180 ms,180
NOPless PackBits,paper2.dat,82.0 KB,83.6 KB,0.9809490416082282,135 ms,135
NOPless PackBits,pic.dat,501.2 KB,107.0 KB,4.68433734939759,190 ms,190
NOPless PackBits,plrabn12.txt,470.6 KB,479.3 KB,0.9817208704386217,151 ms,151
NOPless PackBits,progc.dat,40.1 KB,40.4 KB,0.9927772543904148,135 ms,135
NOPless PackBits,progl.dat,72.2 KB,69.2 KB,1.0431873049935763,153 ms,153
NOPless PackBits,progp.dat,50.1 KB,46.8 KB,1.0705796497080902,328 ms,328
NOPless PackBits,ptt5,501.2 KB,107.0 KB,4.68433734939759,152 ms,152
NOPless PackBits,reymont.dat,6.3 MB,6.4 MB,0.9846461102241097,1.218 s,1218
NOPless PackBits,samba.dat,20.6 MB,19.2 MB,1.0729429272565016,910 ms,910
NOPless PackBits,sao.dat,6.9 MB,7.0 MB,0.9890521501276013,548 ms,548
NOPless PackBits,sum,37.3 KB,34.9 KB,1.0702191374436762,297 ms,297
NOPless PackBits,trans.dat,91.5 KB,90.3 KB,1.0133023306115827,224 ms,224
NOPless PackBits,x-ray.dat,8.1 MB,8.1 MB,0.9920063456640342,1.71 s,1071
NOPless PackBits,xargs.1,4.2 KB,4.3 KB,0.9801219787666592,521 ms,521
NOPless PackBits,xml.dat,5.1 MB,5.2 MB,0.9871859084885045,793 ms,793
NOPless PackBits,Average, , ,1.22831997441181,352 ms,352.2647058823529
LZSS,alice29.txt,148.5 KB,71.4 KB,2.0799917943107222,2.162 s,2162
LZSS,asyoulik.txt,126.3 KB,64.4 KB,1.9610076437757826,685 ms,685
LZSS,bib.dat,114.8 KB,52.1 KB,2.2029164792322686,558 ms,558
LZSS,book1.dat,750.8 KB,414.0 KB,1.8135454877861785,4.40 s,4040
LZSS,book2.dat,611.8 KB,282.3 KB,2.166953177153412,2.924 s,2924
LZSS,cp.html,24.7 KB,10.8 KB,2.2915229624251223,135 ms,135
LZSS,dickens.dat,9.7 MB,5.0 MB,1.94356472157251,50.401 s,50401
LZSS,fields.c,11.3 KB,3.8 KB,2.985563289507605,689 ms,689
LZSS,geo.dat,100.0 KB,81.4 KB,1.2285690290225437,1.126 s,1126
LZSS,grammar.lsp,3.7 KB,1.5 KB,2.4708549222797926,1.747 s,1747
