Program, File, Original Size, Compressed Size, Compression Ratio
Canonical Huffman,progp.dat,48.2 KB,29.8 KB,1.620418075
Canonical Huffman,reymont.dat,6.3 MB,3.8 MB,1.643826191
Canonical Huffman,samba.dat,20.6 MB,15.8 MB,1.305730865
Canonical Huffman,sao.dat,6.9 MB,6.5 MB,1.059446016
Canonical Huffman,trans.dat,91.5 KB,63.9 KB,1.43096049
Canonical Huffman,x-ray.dat,8.1 MB,6.7 MB,1.206599975
Canonical Huffman,xml.dat,5.1 MB,3.5 MB,1.440263453
Canonical Huffman,Average, , ,1.298181421
Adaptive Huffman,bib.dat,108.7 KB,71.4 KB,1.520893992
Adaptive Huffman,book1.dat,750.8 KB,428.9 KB,1.750572692
Adaptive Huffman,book2.dat,596.5 KB,361.5 KB,1.65001229
Adaptive Huffman,cbib.dat,34.4 KB,34.6 KB,0.995564596
Adaptive Huffman,cbook1.dat,306.2 KB,306.6 KB,0.99899016
Adaptive Huffman,cbook2.dat,201.8 KB,202.1 KB,0.998859418
Adaptive Huffman,cdickens.dat,3.7 MB,3.7 MB,0.999480336
Adaptive Huffman,cgeo.dat,66.8 KB,66.9 KB,0.998541104
Adaptive Huffman,cmozilla.dat,18.2 MB,18.2 MB,1.000864746
Adaptive Huffman,cmr.dat,3.5 MB,3.5 MB,0.999986398
Adaptive Huffman,cnci.dat,3.1 MB,3.1 MB,0.999508398
Adaptive Huffman,cnews.dat,141.4 KB,141.6 KB,0.998600145
Adaptive Huffman,cobj1.dat,10.1 KB,10.2 KB,0.989557386
Adaptive Huffman,cobj2.dat,79.6 KB,79.8 KB,0.997540322
Adaptive Huffman,cooffice.dat,3.0 MB,3.0 MB,0.999531748
Adaptive Huffman,cosdb.dat,3.5 MB,3.5 MB,0.999578007
Adaptive Huffman,cpaper1.dat,18.1 KB,18.3 KB,0.992729605
Adaptive Huffman,cpaper2.dat,29.1 KB,29.3 KB,0.993525996
Adaptive Huffman,cpic.dat,55.2 KB,55.3 KB,0.996998958
Adaptive Huffman,cprogc.dat,13.0 KB,13.2 KB,0.991168176
Adaptive Huffman,cprogl.dat,15.9 KB,16.0 KB,0.992737703
Adaptive Huffman,cprogp.dat,11.0 KB,11.1 KB,0.988305636
Adaptive Huffman,creymont.dat,1.8 MB,1.8 MB,0.99947955
Adaptive Huffman,csamba.dat,5.2 MB,5.2 MB,0.998611467
Adaptive Huffman,csao.dat,5.1 MB,5.1 MB,0.99972456
Adaptive Huffman,ctrans.dat,18.6 KB,18.8 KB,0.992190347
Adaptive Huffman,cwebster.dat,11.6 MB,11.7 MB,0.999547199
Adaptive Huffman,cx-ray.dat,5.8 MB,5.8 MB,1.000152212
Adaptive Huffman,cxml.dat,671.9 KB,672.4 KB,0.999222998
Adaptive Huffman,dickens.dat,9.7 MB,5.6 MB,1.750185365
Adaptive Huffman,geo.dat,100.0 KB,71.4 KB,1.400820793
